team,avg_american_odds,blended_devigg_prob,blended_fair_american_odds,log_odds
Mexico,-5,0.4701127596128439,113,-0.1196916499251232
South Korea,315,0.22184093933229243,351,-1.2549703158638894
Czech Republic,345,0.21839931269010127,358,-1.2750188832484501
South Africa,975,0.08964698836476248,1015,-2.31795284292869
Switzerland,0,0.4559499985884267,119,-0.17665800570780674
Canada,188,0.3172812137498157,215,-0.7662945513742061
Bosnia,385,0.18819188963353822,431,-1.4618018631310064
Qatar,2350,0.038576898028219266,2492,-3.215760984060159
Brazil,-330,0.7136515938389035,-249,0.9131856066627623
Morocco,438,0.17356936703379908,476,-1.5605386556060645
Scotland,800,0.10505639251840834,852,-2.14226343029921
Haiti,12500,0.007722646608889104,12849,-4.8558455280475865
USA,130,0.3968597527225896,152,-0.418566801661489
Turkey,190,0.31466280493296167,218,-0.77840936777324
Paraguay,412,0.17793750720188964,462,-1.5303840119557195
Australia,725,0.11053993514255919,805,-2.0852377502565926
Germany,-265,0.6590700562031931,-193,0.659152822919705
Ecuador,365,0.19666265909494768,408,-1.407284855941921
Ivory Coast,600,0.13063587920812222,665,-1.8953481437178568
Curacao,8750,0.013631405493737042,7236,-4.281653754791506
Netherlands,-128,0.5050189701485881,-102,0.020076554918671698
Japan,295,0.2310890070481887,333,-1.2021722707158442
Sweden,390,0.1851989423145222,440,-1.4815133712928765
Tunisia,1050,0.07869308048870102,1171,-2.4602379977579223
Belgium,-225,0.6342045246263972,-173,0.5502971297089227
Egypt,395,0.18517642102737625,440,-1.4816626244503266
Iran,575,0.13996708406328628,614,-1.8155633817280807
New Zealand,2200,0.04065197028294022,2360,-3.161206613769126
Spain,-450,0.761672503561805,-320,1.1618709146935993
Uruguay,435,0.1759590098477369,468,-1.543969204681971
Saudi Arabia,2000,0.04460602246838069,2142,-3.0642549144934077
Cape Verde,5500,0.01776246412207734,5530,-4.012745695447669
France,-205,0.6153140455181061,-160,0.46970548181463456
Norway,265,0.2525963755955549,296,-1.084812504970993
Senegal,775,0.10600191931298787,843,-2.1322464276142297
Iraq,3500,0.026087659573351116,3733,-3.619858910794733
Argentina,-315,0.6970602656375705,-230,0.8333379821188623
Austria,475,0.16011291755957824,525,-1.6573881560677266
Algeria,650,0.12264146701330814,715,-1.9676505299336884
Jordan,4500,0.020185349789543124,4854,-3.882406338001537
Portugal,-220,0.6238063627103758,-166,0.5057360004239613
Colombia,250,0.25947652126882703,285,-1.0486911180903273
DR Congo,900,0.09149248216655809,993,-2.2955463560056564
Uzbekistan,3500,0.025224633854239082,3864,-3.654385999815854
England,-280,0.6744016454638994,-207,0.7281612660981973
Croatia,370,0.1977874718402285,406,-1.4001804907950521
Ghana,850,0.10012194199943533,899,-2.1958703999403264
Panama,3500,0.02768894069643678,3512,-3.5586426924901975
